trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,ADR/increase_counts,ADR/decrease_counts,ADR/goal_range_min,ADR/goal_range_max,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/FinalReward Mean,exploration/FinalReward Std,exploration/FinalReward Max,exploration/FinalReward Min,exploration/Average Returns,exploration/env_infos_final/pos_diff Mean,exploration/env_infos_final/pos_diff Std,exploration/env_infos_final/rot_diff Mean,exploration/env_infos_final/rot_diff Std,exploration/env_infos_final/flip Mean,exploration/env_infos_final/flip Std,exploration/env_infos_final/success Mean,exploration/env_infos_final/success Std,exploration/env_infos_final/target_finger_penalty Mean,exploration/env_infos_final/target_finger_penalty Std,exploration/env_infos_final/pos_rot_reward Mean,exploration/env_infos_final/pos_rot_reward Std,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/FinalReward Mean,evaluation/FinalReward Std,evaluation/FinalReward Max,evaluation/FinalReward Min,evaluation/Average Returns,evaluation/env_infos_final/pos_diff Mean,evaluation/env_infos_final/pos_diff Std,evaluation/env_infos_final/rot_diff Mean,evaluation/env_infos_final/rot_diff Std,evaluation/env_infos_final/flip Mean,evaluation/env_infos_final/flip Std,evaluation/env_infos_final/success Mean,evaluation/env_infos_final/success Std,evaluation/env_infos_final/target_finger_penalty Mean,evaluation/env_infos_final/target_finger_penalty Std,evaluation/env_infos_final/pos_rot_reward Mean,evaluation/env_infos_final/pos_rot_reward Std,time/epoch (s),time/total (s),Epoch
54.272743,54.197754,-4.0446506,-4.172388,6.067662,5.170878,-17.251852,-4.04795,0.4726912,-2.4902272,-5.349182,-0.00020410575,0.0012718012,0.0014589282,-0.0019830603,0.9990004897117615,-0.0,0,0,1.5,1.5,9000,225,40.0,0.0,40,40,-7.1031638527076995,2.402080919427775,-5.10728017145374,-18.68028901978657,-301.47517378312654,7.991591326137531,4.572981217065247,12.066883432640207,7.1839322802571495,0.0,0.0,0.0,0.0,-2.686154496931081,0.08698941652041363,-4.417009355776619,2.3923772119114894,800,20,40.0,0.0,40,40,-13.080197466708166,0.37093317848678065,-12.306323048276742,-13.927511990007773,-523.1775645545365,20.6367202701524,0.7983508748534632,2.767284697284329,1.3218118747758725,0.0,0.0,0.0,0.0,-2.665240873016635,2.5168489062757493e-13,-10.41495659369153,0.3709331784867973,0,4878.217384114998,0
1.7152182,1.7935679,232.51678,-228.1678,173.42082,-5.21945,-636.5322,6.0969296,4.2105002,19.573816,-5.454904,-1.1361673,0.47165415,-0.106496006,-2.5414824,0.07127058506011963,0.2560760974884033,0,0,1.5,1.5,17000,425,40.0,0.0,40,40,-5.6409891696963,0.7876623420904121,-3.8486319473709885,-7.545476845566649,-258.63071144699416,5.258143293836108,1.6531056312758192,10.66204596951286,4.973272012907447,0.0,0.0,0.0,0.0,-2.639741908444264,0.15194508216857833,-3.001247261252035,0.7754152196096524,1600,40,40.0,0.0,40,40,-5.973678093188623,0.10386389296466739,-5.774047290161137,-6.168642471072651,-273.8305425792436,5.878780272494966,0.20475936042760198,10.572420170441726,0.455121986796849,0.0,0.0,0.0,0.0,-2.6652408731842043,1.0976249349105262e-10,-3.308437220004419,0.10386389294718103,0,9068.778429638998,1
1.8293891,1.7721052,368.89923,-364.879,250.26515,-5.2019477,-947.4542,6.6563125,5.307217,22.337605,-4.1096497,-1.0866508,0.4669875,0.0015828013,-2.6832154,0.049563050270080566,1.9721808433532715,0,0,1.5,1.5,25000,625,40.0,0.0,40,40,-5.2014075534741355,1.63590375762774,-2.0283036831526755,-22.66229862816116,-236.2328967117701,3.870783668387637,2.1214196335228306,24.124276219723377,19.929063575087632,0.005,0.07053367989832944,0.0,0.0,-2.423919619890829,0.579094561667383,-2.7774879335833065,1.5373418246791708,2400,60,40.0,0.0,40,40,-5.046338550435039,0.07330099381585695,-4.915261681507609,-5.1777950791435945,-229.80931945226865,3.5333306040330945,0.14231440821599622,17.69304875224398,0.40327912336045935,0.0,0.0,0.0,0.0,-2.6620693375334286,0.014151654479388608,-2.3842692129016116,0.06781765257735192,0,13453.637662311019,2
4.634064,5.5258136,215.13388,-216.40152,176.8511,0.21896945,-847.9571,5.2028656,5.519683,20.666214,-4.3497562,-0.8223882,0.3113586,-0.1655618,-2.0934901,0.1544012576341629,-1.488364815711975,0,0,1.5,1.5,33000,825,40.0,0.0,40,40,-3.9400418773307306,3.6131153946522976,-0.7989128710569855,-28.545359903316236,-199.44721593451638,4.790017554439707,4.587648104220366,21.948015099132007,15.290117415131963,0.42,0.4935585071701227,0.035,0.18377975949489103,-0.7789028445963109,1.1847019427364425,-3.16113903273442,2.637814710319301,3200,80,40.0,0.0,40,40,-4.368604399015978,1.0404498887778206,-2.559396968768372,-6.976407175435634,-196.0772457281401,6.109102998257443,1.1834744488686013,19.637428527437475,5.741095422846703,0.05,0.21794494717703364,0.0,0.0,-0.6285773310295668,0.5499296604395163,-3.740027067986412,0.7073081707953535,0,17844.852146391015,3
2.2811804,2.395104,110.2691,-107.00712,77.989815,-1.0857844,-332.7473,6.259187,5.4703326,22.530327,-6.854309,-0.9491389,0.39374295,0.043010533,-2.3942738,0.09830871969461441,0.6012331247329712,0,0,1.5,1.5,41000,1025,40.0,0.0,40,40,-2.3290715246743456,3.7126568929292163,-0.6996476968254757,-22.343340681277358,-151.94477629150916,3.079871263954386,4.67796572462225,13.097982766917237,19.829156865657563,0.83,0.375632799419859,0.61,0.4877499359302879,-0.3319300433927866,1.0153882577115712,-1.9971414812815589,2.879928344251184,4000,100,40.0,0.0,40,40,-1.055716889283684,0.2117465750454224,-0.7937192766162351,-1.608234973209574,-116.25295564207018,1.4087991860245896,0.35732440262850124,10.064499173148864,1.8440400288626424,1.0,0.0,0.55,0.4974937185533099,0.0,0.0,-1.055716889283684,0.2117465750454224,0,22247.162276073024,4
4.3461676,5.2077613,70.04468,-67.29208,49.908108,-0.6314584,-225.97519,5.661912,5.3477163,20.443789,-5.0620933,-0.9858847,0.4277693,0.015786052,-2.7161598,0.0952783077955246,-0.7946904897689819,1,0,1.375,1.5,49000,1225,40.0,0.0,40,40,-1.40889759322479,1.9167221188449914,-0.6056817249146842,-17.98189405524395,-122.14240396174165,2.072419786437591,2.383896552615247,7.479907384651451,9.520168512611692,0.925,0.2633913438213185,0.83,0.375632799419859,-0.11158967679318291,0.5843110267909508,-1.297307916431607,1.419712524768682,4800,120,40.0,0.0,40,40,-2.011017316221271,1.3651468446049921,-0.8409846915800911,-5.475974713457427,-136.64415701804097,2.50279694847804,1.3697634301526873,11.432399823911396,12.13461802184554,0.75,0.4330127018922193,0.5,0.5,-0.36055280531890255,0.7405236026069985,-1.6504645109023677,0.8719792109409809,0,26638.286568012023,5
3.5213819,2.716234,60.97633,-57.264046,62.91147,-0.9643719,-560.5872,6.0814304,6.231575,27.961763,-4.893652,-1.0137273,0.41167298,0.8408138,-2.680157,0.09260766953229904,0.19374608993530273,1,0,1.375,1.5,57000,1425,40.0,0.0,40,40,-1.3167277841827856,1.984701271045836,-0.32607138014808923,-14.942153573471959,-120.95059389144666,1.7734145468637623,2.063730884203648,9.127363755247545,14.883248177468756,0.965,0.1837797594948911,0.8,0.4,-0.11141541163837734,0.7344226668917698,-1.2053123725444084,1.3857613058053064,5600,140,40.0,0.0,40,40,-0.8369073222062962,0.04806230909320618,-0.7602252644559315,-0.9701398997710989,-103.86044976270219,1.35722909102294,0.2126808664810984,4.5347540160101705,2.875943767867553,1.0,0.0,1.0,0.0,0.0,0.0,-0.8369073222062962,0.04806230909320618,0,31053.849602963026,6
2.311571,2.4219942,53.571213,-50.098698,41.366703,-1.059358,-247.9572,5.7476244,6.2430897,27.18232,-3.8757262,-0.9770593,0.42214972,0.62695694,-2.9965858,0.08957523852586746,-0.6088504791259766,2,0,1.375,1.625,65000,1625,40.0,0.0,40,40,-1.5827588667212347,2.3862563421069143,-0.5839059724682854,-21.17832701618277,-126.42655844863799,2.1435696558660653,2.5795282763449827,10.617201319574828,13.115139905196878,0.96,0.19595917942265428,0.66,0.4737087712930805,-0.14036379804086732,0.8589471692253053,-1.4423950686803675,1.6216108303745718,6400,160,40.0,0.0,40,40,-1.281551237017608,0.9181094137837601,-0.7198876586057172,-5.128837575539092,-119.08297944245217,1.8360207852749735,1.2303022799301335,9.932744162228497,7.458139449315184,0.95,0.2179449471770337,0.6,0.48989794855663565,-0.016822665601855153,0.07332829931946447,-1.264728571415753,0.847855360344192,0,35438.46988413505,7
3.3664956,3.276201,62.01792,-58.216988,61.21832,-1.3718245,-434.94214,6.698522,6.855276,32.258446,-4.378436,-1.0195407,0.43865937,0.07318324,-2.5890565,0.07933621853590012,1.7705986499786377,2,0,1.375,1.625,73000,1825,40.0,0.0,40,40,-1.3449096642083525,1.3968220890065723,-0.35637259632443635,-11.850678012196152,-117.09292783688129,1.9048025118958918,1.7484578843969707,9.53924373738048,8.422934409214713,0.975,0.15612494995995996,0.66,0.4737087712930805,-0.059525985525329006,0.4190729957716035,-1.285383678683023,1.0737914915382532,7200,180,40.0,0.0,40,40,-0.9900823502892419,0.18507211281572594,-0.7176981661244526,-1.4399356780499193,-103.80701339062436,1.6327072046247921,0.45436469648318023,4.9769620195826,2.721423050608563,1.0,0.0,0.95,0.21794494717703367,0.0,0.0,-0.9900823502892419,0.18507211281572594,0,40000.93240289004,8
5.941738,7.612631,62.4403,-56.792545,52.333004,-0.7959879,-378.5639,6.2047815,6.380649,34.24866,-3.9539876,-1.0697993,0.4585113,0.25094062,-2.8193552,0.06012803316116333,0.5757640600204468,2,0,1.375,1.625,81000,2025,40.0,0.0,40,40,-1.506245064426995,1.6487785157164334,-0.5584627595584706,-14.356858151150579,-121.8638260111773,1.9581758164897254,1.3380807606115876,11.470589910414576,13.397731829840435,0.96,0.19595917942265428,0.67,0.4702127178203499,-0.12675803401658048,0.7206466325782848,-1.3794870304104143,1.0329371158041778,8000,200,40.0,0.0,40,40,-0.9511432873051466,0.10432717232195234,-0.7520450236673065,-1.1682194541347604,-104.14888505234528,1.542577620465725,0.28531227924161784,5.152451231387151,3.4693791676458012,1.0,0.0,0.85,0.3570714214271425,0.0,0.0,-0.9511432873051466,0.10432717232195234,0,44525.625702951045,9
